ID,Anneal Time,R PbI2,R BAAc,R MAI,PbI2_vol,BAAc_vol,MAI_vol,filename,QW1,QW2,QW3,QW4,QW5,QW6,QW7,QW8,QW9,QW10,QW11,QW12,QW99,Temperature,source,well
128,19.81,1.0,0.97,0.92,34.59,33.71,31.7,N4 R6 sample 8_Subt2__0__17-25-40-101.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
129,18.07,1.0,0.51,3.49,19.98,10.27,69.75,N4 R6 sample 9_Subt2__0__17-25-04-602.csv,0.0,0.0,0.2564929425263433,0.2455948826584166,0.2863693441647926,0.0,0.0,0.0,0.5056680276249131,0.2395783285728284,0.2391047233869381,0.0,0.0,95.0,IMOD_N4_v2_0425,
130,18.07,1.0,0.51,3.49,19.98,10.27,69.75,N4 R6 sample 10_Subt2__0__17-24-07-604.csv,0.0,0.0,0.2840369484276003,0.3327862457537295,0.0,0.0,0.0,0.4960448184900197,0.4956798797116299,0.3530081726505765,0.3524726727015364,0.0,0.0,95.0,IMOD_N4_v2_0425,
131,13.19,1.0,1.27,1.41,27.16,34.51,38.33,N4 R6 sample 11_Subt2__0__17-22-09-607.csv,0.0,0.2562592794428186,0.2502274333438615,0.2199589643325963,0.2747650715071739,0.0,0.0,0.0,0.0,0.0,0.0,0.4554271335723245,0.2549904455460693,95.0,IMOD_N4_v2_0425,
132,13.19,1.0,1.27,1.41,27.16,34.51,38.33,N4 R6 sample 12_Subt2__0__17-21-46-107.csv,0.0,0.1253767424923319,0.1729984936368951,0.1638471288867187,0.1697354980261962,0.1959836577716957,0.0,0.1970894964211247,0.1969684840777102,0.2677959044416712,0.2676593274075756,0.1877565589173137,0.2966236822728733,95.0,IMOD_N4_v2_0425,
133,12.54,1.0,0.37,4.9,15.94,5.98,78.08,N4 R7 sample 1_Subt2__0__18-47-35-501.csv,0.0,0.0,0.2625723778472165,0.2549686714657616,0.2687578173099287,0.0,0.3934440029800296,0.2843357017556916,0.2351922221402683,0.1993150061225723,0.1712293890836965,0.1708358328849136,0.0,95.0,IMOD_N4_v2_0425,
134,12.54,1.0,0.37,4.9,15.94,5.98,78.08,N4 R7 sample 2_Subt2__0__18-47-06-002.csv,0.0,0.2377810923013605,0.2848095128550185,0.3443531627407909,0.0,0.0,0.3302989342166879,0.0,0.2097156630091683,0.2095833082803502,0.1799970019724835,0.1797707147086973,0.0,95.0,IMOD_N4_v2_0425,
135,10.53,1.0,0.88,3.8,17.6,15.47,66.94,N4 R7 sample 3_Subt2__0__18-43-56-006.csv,0.3511354732055601,0.4034369148978465,0.3867232589422447,0.3272872641175145,0.3277820329598853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
136,10.53,1.0,0.88,3.8,17.6,15.47,66.94,N4 R7 sample 4_Subt2__0__18-43-42-507.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
137,8.54,1.0,1.36,4.69,14.18,19.31,66.51,N4 R7 sample 5_Subt2__0__18-46-07-004.csv,0.0,0.0971779482198808,0.1394880010111903,0.0978147928569602,0.0,0.1611738191071068,0.2133756191895169,0.0,0.2283702765118509,0.1761737365008405,0.1732979951463504,0.1731478151538721,0.2810032079482088,95.0,IMOD_N4_v2_0425,
138,8.54,1.0,1.36,4.69,14.18,19.31,66.51,N4 R7 sample 6_Subt2__0__18-46-17-009.csv,0.0,0.1720237590848059,0.153866687294863,0.1397224701486488,0.1348317727317704,0.1653085081805426,0.1948442237256987,0.2266952084923138,0.2265334698056705,0.0,0.2684069124857555,0.2682933257382194,0.2397764522868326,95.0,IMOD_N4_v2_0425,
139,4.33,1.0,0.97,4.94,14.49,13.99,71.52,N4 R7 sample 7_Subt2__0__18-43-07-507.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.3595087762078903,0.3663743070747257,0.0,0.0,0.0,0.0,0.6787102602647553,95.0,IMOD_N4_v2_0425,
140,4.33,1.0,0.97,4.94,14.49,13.99,71.52,N4 R7 sample 8_Subt2__0__18-42-57-008.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.3018535393622857,0.3249521122239245,0.0,0.0,0.0,0.5069221072816567,0.3748869160787527,95.0,IMOD_N4_v2_0425,
141,2.69,1.0,0.54,4.98,15.33,8.27,76.4,N4 R7 sample 9_Subt2__0__18-42-11-509.csv,0.0,0.1968061910228716,0.211327696518944,0.2100041602955964,0.0,0.2211886187883153,0.2441285197565612,0.2024123995612853,0.2022805121815262,0.0,0.2454228813667299,0.2445103449369487,0.3193044924335023,95.0,IMOD_N4_v2_0425,
142,2.69,1.0,0.54,4.98,15.33,8.27,76.4,N4 R7 sample 10_Subt2__0__18-42-31-008.csv,0.0,0.0,0.0,0.0,0.1844831940191777,0.0,0.225886318091849,0.2284065506635282,0.2627344891711493,0.0,0.3271389171404359,0.2708262866050462,0.3645998844533618,95.0,IMOD_N4_v2_0425,
143,1.0,1.0,1.08,4.95,14.24,15.31,70.45,N4 R7 sample 11_Subt2__0__18-41-17-011.csv,0.0,0.3987096259076412,0.3905587806074247,0.3619488156867329,0.32072922592681,0.0,0.3064062364326886,0.0,0.0,0.0,0.0,0.0,0.0,95.0,IMOD_N4_v2_0425,
